domain,bd_index,chinese,reverse_index,url,illegal,pan_analysis,sgsr
028-yh.com,0,no_language,0,,正常,正常,3
0955xxg.com,0,no_language,0,,正常,正常,3
0531lhkj.com,0,no_language,0,,正常,正常,4
08gowu.com,0,no_language,0,,正常,正常,4
028tcl.com,0,no_language,0,,正常,正常,3
02342.net,0,no_language,0,,正常,正常,3
0710pc.com,0,no_language,0,,正常,正常,3
0734m.com,0,no_language,0,,正常,正常,3
021zxw.com,0,no_language,0,,正常,正常,3
16zhan.com,223,chinese,10,,包含违禁词,正常,4
008cf.com,15,chinese,10,,包含违禁词,正常,3
12l14.net,1,chinese,1,,包含违禁词,正常,3
17lelife.com,0,no_language,0,,正常,正常,3
123cc123.com,0,no_language,0,,正常,正常,3
168tvs.com,1,chinese,1,,正常,正常,3
20g45wfgg.com,1,chinese,1,,包含违禁词,正常,3
36car.com,7,chinese,7,,正常,正常,4
114nyw.com,235,chinese,10,,包含违禁词,泛解析,4
1718hc.com,1,chinese,1,,正常,正常,4
28gov.com,1,chinese,1,,正常,正常,3
365ps.com,0,no_language,0,,正常,正常,3
19haha.com,2,chinese,2,,正常,正常,3
39ddz.com,0,no_language,0,,正常,正常,3
39slgts.com,0,no_language,0,,正常,正常,3
5-47.com,0,no_language,0,,正常,正常,3
365code.com,20,chinese,10,,包含违禁词,正常,4
25djd.com,2,chinese,2,,正常,正常,3
512jc.com,0,no_language,0,,正常,正常,3
51667388.com,0,no_language,0,,正常,正常,3
51zhtj.com,1,chinese,1,,正常,正常,3
51dbzf.com,0,no_language,0,,正常,正常,3
520qp.com,0,no_language,0,,正常,正常,3
511mr.com,5,chinese,5,,包含违禁词,正常,3
5200734.com,1,english,1,,正常,正常,3
52byq.com,0,no_language,0,,正常,正常,4
531ka.com,0,no_language,0,,正常,正常,4
54yq.com,1,english,1,,正常,正常,3
528shouji.com,4,chinese,4,,正常,正常,4
56zhe.com,0,no_language,0,,正常,正常,4
5y988.com,0,no_language,0,,正常,正常,3
661gt.com,0,no_language,0,,正常,正常,3
5huayu.com,4,chinese,4,,正常,正常,4
